"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2019","6,488.25","6,434.55","6,521.44","6,412.98","224.76M","1.02%"
"01/04/2019","6,422.67","6,250.05","6,445.19","6,234.59","272.84M","4.48%"
"01/03/2019","6,147.13","6,274.76","6,292.68","6,139.40","286.07M","-3.36%"
"01/02/2019","6,360.87","6,198.68","6,394.73","6,198.68","202.73M","0.49%"
"12/31/2018","6,329.97","6,354.85","6,365.39","6,273.94","192.95M","0.71%"
"12/28/2018","6,285.27","6,326.62","6,388.36","6,233.69","191.43M","-0.05%"
"12/27/2018","6,288.30","6,168.60","6,291.99","6,043.44","244.42M","0.41%"
"12/26/2018","6,262.77","5,969.07","6,263.82","5,921.86","271.11M","6.16%"
"12/24/2018","5,899.35","5,994.08","6,075.17","5,895.12","171.72M","-2.43%"
"12/21/2018","6,046.56","6,293.05","6,308.31","6,013.98","630.18M","-3.15%"
"12/20/2018","6,243.19","6,312.72","6,380.97","6,161.85","308.29M","-1.57%"
"12/19/2018","6,342.97","6,480.31","6,575.39","6,284.72","288.81M","-2.29%"
"12/18/2018","6,491.52","6,503.12","6,551.04","6,434.60","228.70M","0.67%"
"12/17/2018","6,448.39","6,570.99","6,621.63","6,399.55","240.32M","-2.22%"
"12/14/2018","6,594.96","6,679.91","6,710.41","6,585.31","205.50M","-2.56%"
"12/13/2018","6,767.97","6,805.70","6,833.78","6,724.04","169.28M","0.06%"
"12/12/2018","6,763.96","6,800.55","6,867.66","6,761.78","192.14M","0.89%"
"12/11/2018","6,704.24","6,782.41","6,788.47","6,650.83","180.72M","0.32%"
"12/10/2018","6,682.74","6,603.36","6,710.39","6,534.33","200.80M","1.05%"
"12/07/2018","6,613.27","6,806.63","6,849.38","6,594.54","222.93M","-3.30%"
"12/06/2018","6,838.85","6,652.13","6,840.49","6,630.82","258.85M","0.64%"
"12/04/2018","6,795.21","7,026.81","7,045.68","6,785.85","258.46M","-3.78%"
"12/03/2018","7,062.13","7,106.84","7,106.99","7,013.20","233.91M","1.63%"
"11/30/2018","6,949.01","6,902.24","6,951.13","6,872.29","339.76M","0.82%"
"11/29/2018","6,892.40","6,890.84","6,938.02","6,839.45","166.57M","-0.30%"
"11/28/2018","6,913.33","6,756.13","6,914.79","6,713.29","219.98M","3.17%"
"11/27/2018","6,701.04","6,639.39","6,715.40","6,609.08","173.62M","0.34%"
"11/26/2018","6,678.34","6,616.79","6,679.91","6,590.89","179.09M","2.31%"
"11/23/2018","6,527.35","6,525.02","6,591.56","6,524.55","96.20M","-0.73%"
"11/21/2018","6,575.66","6,608.12","6,639.37","6,566.31","179.41M","0.75%"
"11/20/2018","6,526.96","6,475.68","6,614.01","6,442.36","273.24M","-1.75%"
"11/19/2018","6,642.92","6,832.25","6,841.44","6,623.37","241.71M","-3.26%"
"11/16/2018","6,867.02","6,823.03","6,898.13","6,797.43","269.51M","-0.34%"
"11/15/2018","6,890.45","6,750.63","6,908.82","6,702.42","227.81M","1.78%"
"11/14/2018","6,769.87","6,896.19","6,916.10","6,736.18","205.78M","-0.89%"
"11/13/2018","6,830.91","6,858.59","6,951.44","6,811.68","196.22M","0.03%"
"11/12/2018","6,829.10","6,990.37","6,998.80","6,819.38","196.51M","-2.98%"
